name,file,template,loadspec,secondary,group,vol_min,vol_max,team_vol_mod,dist_min,dist_max,dist_reverb_max,volume_falloff_curve,reverb_falloff_curve,volume_min_falloff_curve,reverb_min_falloff_curve,limit_count,limit_type,entity_limit_count,entity_limit_type,pitch_min,pitch_max,team_pitch_mod,min_priority,max_priority,min_priority_threshold,max_priority_threshold,spatialized,type,loop,randomize_type,probability,start_delay,reverb_send,duck,pan,center_send,envelop_min,envelop_max,envelop_percentage,occlusion_level,occlusion_wet_dry,is_big,distance_lpf,move_type,move_time,real_delay,subtitle,mature,doppler,futz,context_type,context_value,compression,timescale,music,fade_in,fade_out,pc_format,pause,stop_on_death,bus,snapshot,voice_limit,file_xenon,file_size_xenon,file_ps3,file_size_ps3,file_pc,file_size_pc,file_wii,file_size_wii,source_csv,language
#BLUNDERGAT
weap_blundergat_fire,sound\acidgat\blundergat_fire.wav,wpn_smg_shot_plr,wpn_mp5,,wpn_smg_plr,100,100,100,0,0,0,curve3,default,allon,rdefault,5,oldest,5,reject,0,0,0,90,90,0.25,1,2d,loaded,nonlooping,,1,0,100,smg_3p_gun_duck,wpn_all,0,0,0,0,0.5,0.5,no,no,none,1000,no,,both,no,no,,,75,yes,no,0,0,wma,yes,no,world,wpn_plr,no,raw\sound\wpn\smg\mp5\plr\shot\shot_00.xm4,0,sound\acidgat\blundergat_fire.wav,0,sound\acidgat\blundergat_fire.wav,0,,,wpn_smg,all
weap_blundergat_fire_ug,sound\acidgat\blundergat_uber_shot_st.wav,wpn_smg_shot_plr,wpn_mp5,,wpn_smg_plr,100,100,100,0,0,0,curve3,default,allon,rdefault,5,oldest,5,reject,0,0,0,90,90,0.25,1,2d,loaded,nonlooping,,1,0,100,smg_3p_gun_duck,wpn_all,0,0,0,0,0.5,0.5,no,no,none,1000,no,,both,no,no,,,75,yes,no,0,0,wma,yes,no,world,wpn_plr,no,raw\sound\wpn\smg\mp5\plr\shot\shot_00.xm4,0,sound\acidgat\blundergat_uber_shot_st.wav,0,sound\acidgat\blundergat_uber_shot_st.wav,0,,,wpn_smg,all
#PPSH
fly_ppsh_mag_in_plr,raw\sound\wpn\smg\ww2\ppsh\foley\fly_ppsh_mag_in.wav,wpn_all_reload_plr,wpn_ppsh,,reload,100,100,100,0,0,0,default,default,allon,rdefault,5,priority,5,reject,-88,84,0,70,70,0.25,1,2d,loaded,nonlooping,,1,0,88,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,reload,no,raw\sound\wpn\smg\ww2\ppsh\foley\fly_ppsh_mag_in.xm4,0,raw\sound\wpn\smg\ww2\ppsh\foley\fly_ppsh_mag_in.mp3,0,raw\sound\wpn\smg\ww2\ppsh\foley\fly_ppsh_mag_in.wav,0,raw\sound\wpn\smg\ww2\ppsh\foley\fly_ppsh_mag_in.wds,0,wpn_ww2,all
fly_ppsh_mag_out_plr,raw\sound\wpn\smg\ww2\ppsh\foley\fly_ppsh_mag_out.wav,wpn_all_reload_plr,wpn_ppsh,,reload,100,100,100,0,0,0,default,default,allon,rdefault,5,priority,5,reject,-88,84,0,70,70,0.25,1,2d,loaded,nonlooping,,1,0,88,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,reload,no,raw\sound\wpn\smg\ww2\ppsh\foley\fly_ppsh_mag_out.xm4,0,raw\sound\wpn\smg\ww2\ppsh\foley\fly_ppsh_mag_out.mp3,0,raw\sound\wpn\smg\ww2\ppsh\foley\fly_ppsh_mag_out.wav,0,raw\sound\wpn\smg\ww2\ppsh\foley\fly_ppsh_mag_out.wds,0,wpn_ww2,all
fly_ppsh_slide_back_plr,raw\sound\wpn\smg\ww2\ppsh\foley\fly_ppsh_slide_forward.wav,wpn_all_reload_plr,wpn_ppsh,,reload,100,100,100,0,0,0,default,default,allon,rdefault,5,priority,5,reject,-88,84,0,70,70,0.25,1,2d,loaded,nonlooping,,1,0,88,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,reload,no,raw\sound\wpn\smg\ww2\ppsh\foley\fly_ppsh_slide_forward.xm4,0,raw\sound\wpn\smg\ww2\ppsh\foley\fly_ppsh_slide_forward.mp3,0,raw\sound\wpn\smg\ww2\ppsh\foley\fly_ppsh_slide_forward.wav,0,raw\sound\wpn\smg\ww2\ppsh\foley\fly_ppsh_slide_forward.wds,0,wpn_ww2,all
fly_ppsh_tap_plr,raw\sound\wpn\smg\ww2\ppsh\foley\fly_ppsh_mag_tap.wav,wpn_all_reload_plr,wpn_ppsh,,reload,100,100,100,0,0,0,default,default,allon,rdefault,5,priority,5,reject,-88,84,0,70,70,0.25,1,2d,loaded,nonlooping,,1,0,88,,default,0,0,0,0,0.5,0.5,no,yes,none,1000,no,,both,no,no,,,75,no,no,0,0,wma,yes,no,world,reload,no,raw\sound\wpn\smg\ww2\ppsh\foley\fly_ppsh_mag_tap.xm4,0,raw\sound\wpn\smg\ww2\ppsh\foley\fly_ppsh_mag_tap.mp3,0,raw\sound\wpn\smg\ww2\ppsh\foley\fly_ppsh_mag_tap.wav,0,raw\sound\wpn\smg\ww2\ppsh\foley\fly_ppsh_mag_tap.wds,0,wpn_ww2,all
wpn_ppsh_fire_plr,sound\wpn\waw\ppsh\wpn_ppsh_st_f.wav,wpn_smg_shot_plr,wpn_mp5,wpn_ppsh_fire_action_plr,wpn_smg_plr,93,93,100,0,0,0,curve3,default,allon,rdefault,5,oldest,5,reject,0,0,0,90,90,0.25,1,2d,loaded,nonlooping,,1,0,100,smg_3p_gun_duck,wpn_all,0,0,0,0,0.5,0.5,no,no,none,1000,no,,both,no,no,,,75,yes,no,0,0,wma,yes,no,world,wpn_plr,no,raw\sound\wpn\smg\mp5\plr\shot\shot_00.xm4,0,raw\sound\wpn\smg\mp5\plr\shot\shot_00.mp3,0,sound\wpn\waw\ppsh\wpn_ppsh_st_f.wav,0,,,wpn_smg,
wpn_ppsh_fire_action_plr,sound\wpn\waw\ppsh\wpn_ppsh_st_act.wav,wpn_smg_shot_plr,wpn_mp5,wpn_ppsh_fire_sur_plr,wpn_smg_plr,93,93,100,0,0,0,curve3,default,allon,rdefault,5,oldest,5,reject,0,0,0,90,90,0.25,1,2d,loaded,nonlooping,,1,0,100,smg_3p_gun_duck,wpn_all,0,0,0,0,0.5,0.5,no,no,none,1000,no,,both,no,no,,,75,yes,no,0,0,wma,yes,no,world,wpn_plr,no,raw\sound\wpn\smg\mp5\plr\shot\shot_00.xm4,0,raw\sound\wpn\smg\mp5\plr\shot\shot_00.mp3,0,sound\wpn\waw\ppsh\wpn_ppsh_st_act.wav,0,,,wpn_smg,all
